Company Ticker,Company Name
AAPL,Apple Inc. 
MSFT,Microsoft Corporation 
GOOGL,Google
AMZN,Amazon Inc. 
META,Meta Platforms Inc. Class A 
TSLA,Tesla Inc. 
JNJ,Johnson & Johnson 
NVDA,NVIDIA Corporation 
NFLX,Netflix Inc. 
WMT,Walmart Inc. 
CRM,Salesforce Inc. 
ADBE,Adobe Inc. 
QCOM,QUALCOMM Incorporated 
MS,Morgan Stanley 
BRK_A,Berkshire Hathaway Inc.
LLY,Eli Lilly and Company 
AVGO,Broadcom Inc. 
JPM,JP Morgan Chase & Co. 
XOM,Exxon Mobil Corporation 
V,Visa Inc.
UNH,United Health Group Incorporated  (DE)
ORCL,Oracle Corporation 
MA,Mastercard Incorporated 
PG,Procter & Gamble Company (The) 
COST,Costco Wholesale Corporation 
HD,Home Depot Inc. (The) 
ABBV,AbbVie Inc. 
BAC,Bank of America Corporation 
KO,Coca-Cola Company (The) 
CVX,Chevron Corporation 
AMD,Advanced Micro Devices Inc. 
MRK,Merck & Company Inc.  (new)
TMUS,T-Mobile US Inc. 
CCZ,Comcast Holdings ZONES
PEP,PepsiCo Inc. 
LIN,Linde plc Ordinary Shares
WFC,Wells Fargo & Company 
CSCO,Cisco Systems Inc.  (DE)
MCD,McDonald's Corporation 
TMO,Thermo Fisher Scientific Inc 
PM,Philip Morris International Inc 
ABT,Abbott Laboratories 
NOW,ServiceNow Inc. 
IBM,International Business Machines Corporation 
TXN,Texas Instruments Incorporated 
AXP,American Express Company 
GE,GE Aerospace 
CAT,Caterpillar Inc. 
ISRG,Intuitive Surgical Inc. 
TBC,AT&T Inc. 5.625% Global Notes due 2067
